task,metric,lang,baseline,ablated,delta
qa,F1,en,41.444,0.32,-41.123
qa,F1,es,37.623,19.205,-18.418
qa,F1,ar,28.575,27.942,-0.633
qa,F1,th,34.282,13.283,-20.999
qa,F1,vi,35.643,0.803,-34.84
qa,F1,zh,28.904,0.0,-28.904
qa_em,EM,en,31.5,0.0,-31.5
qa_em,EM,es,26.5,12.0,-14.5
qa_em,EM,ar,21.5,20.5,-1.0
qa_em,EM,th,28.0,11.5,-16.5
qa_em,EM,vi,23.0,0.0,-23.0
qa_em,EM,zh,24.5,0.0,-24.5
classification,Accuracy,en,45.5,21.5,-24.0
classification,Accuracy,es,36.0,21.0,-15.0
classification,Accuracy,fr,39.0,18.0,-21.0
classification,Accuracy,ja,29.5,13.5,-16.0
classification,Accuracy,zh,30.0,15.5,-14.5
classification_qwk,QWK,en,0.608,0.009,-0.599
classification_qwk,QWK,es,0.47,0.033,-0.436
classification_qwk,QWK,fr,0.565,0.032,-0.532
classification_qwk,QWK,ja,0.375,-0.042,-0.417
classification_qwk,QWK,zh,0.382,-0.008,-0.39
