task,metric,language,baseline,ablated,delta,delta_pct
qa,F1,Arabic,28.575,27.942,-0.633,-2.2
qa,F1,English,41.444,0.32,-41.123,-99.2
qa,F1,Spanish,37.623,19.205,-18.418,-49.0
qa,F1,Thai,34.282,13.283,-20.999,-61.3
qa,F1,Vietnamese,35.643,0.803,-34.84,-97.7
qa,F1,Chinese,28.904,0.0,-28.904,-100.0
qa_em,EM,Arabic,21.5,20.5,-1.0,-4.7
qa_em,EM,English,31.5,0.0,-31.5,-100.0
qa_em,EM,Spanish,26.5,12.0,-14.5,-54.7
qa_em,EM,Thai,28.0,11.5,-16.5,-58.9
qa_em,EM,Vietnamese,23.0,0.0,-23.0,-100.0
qa_em,EM,Chinese,24.5,0.0,-24.5,-100.0
classification,Accuracy,English,85.0,9.5,-75.5,-88.8
classification,Accuracy,Spanish,82.5,100.0,17.5,21.2
classification,Accuracy,French,87.0,1.5,-85.5,-98.3
classification,Accuracy,Japanese,40.5,4.5,-36.0,-88.9
classification,Accuracy,Chinese,50.5,6.5,-44.0,-87.1
