,en,es,fr,ja,ko,pt,th,vi,zh,ar
en,1.1554222447531564,0.4765738674572536,1.3362312453133718,1.061269302027566,0.2565710919243949,0.6601437909262521,0.8653491684368678,0.8444463746888297,1.3330422009740555,0.5543757728167943
es,1.2765868169920782,0.501020324230194,1.4012429220335825,1.023066418511527,0.27216466494968955,0.885469925403595,0.9536752820014954,0.8993902104241507,1.4059808509690421,0.5504113929612295
fr,1.3083436795643397,0.46488721540996003,1.533242058753967,1.0880965352058412,0.2746023978505816,0.8532522576195855,1.0517562321254188,0.9641327994210378,1.4276767764772686,0.571394726208278
ja,1.2333261898585728,0.4432911958013262,1.2902483429227556,1.7295077919960022,0.8595107810837883,0.6728351865495954,0.9673425708498273,0.8446856890405929,2.055339017936162,0.6501651917185102
ko,1.2249949693679807,0.4479592255183628,1.2415193370410373,1.0492835964475362,1.6995507325444905,0.7525369014058796,1.0079898646899632,0.8665679046085903,1.4053181733403888,0.6698904207774571
pt,1.2414537480899264,0.44168455600738527,1.3719541583742416,1.0190399527549743,0.27879319701875954,0.8610462256840297,0.9917480945587158,0.9215271847588674,1.3635935936655315,0.5347266026905605
th,1.0428961302552906,0.393033619437899,1.1230053569589342,0.8750765843050822,0.21871530243328638,0.809899218593325,2.7043808187757215,0.7898075452872685,1.1419082164764405,1.1865391739777158
vi,1.3592680624553137,0.6497200080326625,1.3796234709875925,1.0791424904550826,0.31437737260546,0.9827887586184911,1.2959823761667526,1.2889932904924668,1.5165313720703126,0.6042221120425634
zh,1.3108606747218539,0.5119178295135499,1.4041117021015712,1.1634575349943979,0.28326543058667863,0.6970717430114746,0.856718625341143,0.8560130664280482,2.299701350075858,0.7128846389906747
ar,1.1346319828714642,0.44462272099086225,1.1290126425879343,0.9284549883433748,0.25808206796646116,0.6683792676244463,1.6242757405553545,0.8362651876040869,1.2399496367999485,2.1110551561628066
