layer,language_flores,language_code,language_name,rank,feature_index,nu_value
0,eng_Latn,en,English,1,8920,5.337882995605469
0,eng_Latn,en,English,2,4735,1.9331002235412598
0,eng_Latn,en,English,3,12838,1.3386578559875488
0,eng_Latn,en,English,4,2596,1.2760493755340576
0,eng_Latn,en,English,5,5542,1.2709417343139648
0,spa_Latn,es,Spanish,1,8920,6.231291770935059
0,spa_Latn,es,Spanish,2,5653,2.424811363220215
0,spa_Latn,es,Spanish,3,1668,2.3645777702331543
0,spa_Latn,es,Spanish,4,9963,1.8129435777664185
0,spa_Latn,es,Spanish,5,981,1.524775743484497
0,fra_Latn,fr,French,1,8920,4.673710823059082
0,fra_Latn,fr,French,2,5653,2.492812156677246
0,fra_Latn,fr,French,3,9335,2.3443427085876465
0,fra_Latn,fr,French,4,10597,1.881342887878418
0,fra_Latn,fr,French,5,4184,1.1926277875900269
0,jpn_Jpan,ja,Japanese,1,14763,4.628187656402588
0,jpn_Jpan,ja,Japanese,2,8736,3.1937997341156006
0,jpn_Jpan,ja,Japanese,3,4481,3.1401679515838623
0,jpn_Jpan,ja,Japanese,4,13022,2.2081379890441895
0,jpn_Jpan,ja,Japanese,5,2832,1.7842272520065308
0,kor_Hang,ko,Korean,1,15827,3.9341907501220703
0,kor_Hang,ko,Korean,2,10292,3.7469425201416016
0,kor_Hang,ko,Korean,3,15242,2.6230647563934326
0,kor_Hang,ko,Korean,4,11815,2.4964327812194824
0,kor_Hang,ko,Korean,5,10680,1.9460465908050537
0,kas_Arab,ks,Kashmiri (Arabic script),1,10292,7.450510025024414
0,kas_Arab,ks,Kashmiri (Arabic script),2,3805,3.5053114891052246
0,kas_Arab,ks,Kashmiri (Arabic script),3,15827,2.8598792552948
0,kas_Arab,ks,Kashmiri (Arabic script),4,15242,2.3030784130096436
0,kas_Arab,ks,Kashmiri (Arabic script),5,8371,2.105867385864258
0,por_Latn,pt,Portuguese,1,8920,6.7175140380859375
0,por_Latn,pt,Portuguese,2,5653,2.9918715953826904
0,por_Latn,pt,Portuguese,3,12950,2.411553382873535
0,por_Latn,pt,Portuguese,4,9963,1.6819336414337158
0,por_Latn,pt,Portuguese,5,981,1.4635717868804932
0,tha_Thai,th,Thai,1,10292,5.67343807220459
0,tha_Thai,th,Thai,2,15827,4.23845100402832
0,tha_Thai,th,Thai,3,15242,3.251296043395996
0,tha_Thai,th,Thai,4,11815,2.011870861053467
0,tha_Thai,th,Thai,5,3805,1.985435962677002
0,vie_Latn,vi,Vietnamese,1,11815,3.2112672328948975
0,vie_Latn,vi,Vietnamese,2,13021,2.2996480464935303
0,vie_Latn,vi,Vietnamese,3,15806,1.9093856811523438
0,vie_Latn,vi,Vietnamese,4,15827,1.6856353282928467
0,vie_Latn,vi,Vietnamese,5,1097,1.376838207244873
0,cmn_Hans,zh,Chinese,1,14763,7.818384170532227
0,cmn_Hans,zh,Chinese,2,12789,2.3166306018829346
0,cmn_Hans,zh,Chinese,3,2127,1.7294301986694336
0,cmn_Hans,zh,Chinese,4,15827,1.2239563465118408
0,cmn_Hans,zh,Chinese,5,10610,1.124835729598999
2,eng_Latn,en,English,1,15089,4.365625381469727
2,eng_Latn,en,English,2,2007,2.0129730701446533
2,eng_Latn,en,English,3,7361,1.4295203685760498
2,eng_Latn,en,English,4,5542,1.1083035469055176
